County,Male,Female,Intersex,Total
Kenya,"23,548,056","24,014,716","1,524","47,564,296"
Mombasa,"610,257","598,046",30,"1,208,333"
Kwale,"425,121","441,681",18,"866,820"
Kilifi,"704,089","749,673",25,"1,453,787"
Tana River,"158,550","157,391",2,"315,943"
Lamu,"76,103","67,813",4,"143,920"
Taita/Taveta,"173,337","167,327",7,"340,671"
Garissa,"458,975","382,344",34,"841,353"
Wajir,"415,374","365,840",49,"781,263"
Mandera,"434,976","432,444",37,"867,457"
Marsabit,"243,548","216,219",18,"459,785"
Isiolo,"139,510","128,483",9,"268,002"
Meru,"767,698","777,975",41,"1,545,714"
Tharaka-Nithi,"193,764","199,406",7,"393,177"
Embu,"304,208","304,367",24,"608,599"
Kitui,"549,003","587,151",33,"1,136,187"
Machakos,"710,707","711,191",34,"1,421,932"
Makueni,"489,691","497,942",20,"987,653"
Nyandarua,"315,022","323,247",20,"638,289"
Nyeri,"374,288","384,845",31,"759,164"
Kirinyaga,"302,011","308,369",31,"610,411"
Murang'a,"523,940","532,669",31,"1,056,640"
Kiambu,"1,187,146","1,230,454",135,"2,417,735"
Turkana,"478,087","448,868",21,"926,976"
West Pokot,"307,013","314,213",15,"621,241"
Samburu,"156,774","153,546",7,"310,327"
Trans Nzoia,"489,107","501,206",28,"990,341"
Uasin Gishu,"580,269","582,889",28,"1,163,186"
Elgeyo/Marakwet,"227,317","227,151",12,"454,480"
Nandi,"441,259","444,430",22,"885,711"
Baringo,"336,322","330,428",13,"666,763"
Laikipia,"2...59..,440","259,102",18,"518,560"
Nakuru,"1,...07...7,272","1,084,835",95,"2,162,202"
Narok,"......5...79..,042","578,805",26,"1,157,873"
Kajiado,"5...5...7,098","560,704",38,"1,117,840"
Kericho,"450,741","451,008",28,"901,777"
Bomet,"434,287","441,379",23,"875,689"
Kakamega,"897,133","970,406",40,"1,867,579"
Vihiga,"283,678","306,323",12,"590,013"
Bungoma,"812,146","858,389",35,"1,670,570"
Busia,"426,252","467,401",28,"893,681"
Siaya,"471,669","521,496",18,"993,183"
Kisumu,"560,942","594,609",23,"1,155,574"
Homa Bay,"539,560","592,367",23,"1,131,950"
Migori,"536,187","580,214",35,"1,116,436"
Kisii,"605,784","661,038",38,"1,266,860"
Nyamira,"290,907","314,656",13,"605,576"
Nairobi City,"2,192,452","2,204,376",245,"4,397,073"
